"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","should delete the comment","API - Comments","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","405","should register a new user successfully","API - Users","Thu Oct 30 11:55:45 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","213","should log in successfully with valid credentials","API - Login","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","38","Fetch the created article by slug","Articles management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","11","should add a comment to the article","API - Comments","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","5","should fetch all comments for the article (if supported)","API - Comments","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","369","Create a new article successfully","Articles management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","67","Update the article successfully","Articles management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","327","should create a new article successfully","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","19","Fetch comments after deletion","Comments management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","435","Login successfully with valid credentials","User login","Thu Oct 30 11:55:55 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","11","should delete the article successfully","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","438","Fetch all tags successfully","Tags retrieval","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","32","Fetch deleted article","Articles management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","37","should update the article successfully and capture new slug","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","55","Delete the comment","Comments management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","9","should fetch the updated article using the new slug","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","1047","Register a new user successfully","User registration","Thu Oct 30 11:55:55 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","215","should fail to register a user with an existing email","API - Users","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","70","should fail to log in with invalid email format","API - Login","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","31","Delete the article successfully","Articles management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","254","Fail to register with an existing email","User registration","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","156","should fail to log in with wrong password","API - Login","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","99","should fetch the created article by slug","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","300","should fetch the tags list successfully","API - Tags","Thu Oct 30 11:55:45 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","3","should confirm the comment was deleted (no crash)","API - Comments","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","306","Fail to log in with wrong password","User login","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","43","should return 404 when fetching a deleted article","API - Articles CRUD","Thu Oct 30 11:55:46 UTC 2025","passed","Thu Oct 30 11:55:46 UTC 2025","","","",""
"","75","Fetch comments for the article","Comments management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
"","203","Add a comment to the article","Comments management","Thu Oct 30 11:55:56 UTC 2025","passed","Thu Oct 30 11:55:56 UTC 2025","","","",""
